name,target,bodyPart,equipment,Muscle_Group
lever seated hip abduction,abductors,upper legs,leverage machine,abductors
side hip abduction,abductors,upper legs,body weight,abductors
straight leg outer hip abductor,abductors,upper legs,body weight,abductors
side bridge hip abduction,abductors,upper legs,body weight,abductors
resistance band seated hip abduction,abductors,upper legs,resistance band,abductors
3/4 sit-up,abs,waist,body weight,abs
45° side bend,abs,waist,body weight,abs
air bike,abs,waist,body weight,abs
alternate heel touchers,abs,waist,body weight,abs
assisted hanging knee raise with throw down,abs,waist,assisted,abs
assisted hanging knee raise,abs,waist,assisted,abs
assisted lying leg raise with lateral throw down,abs,waist,assisted,abs
assisted lying leg raise with throw down,abs,waist,assisted,abs
assisted motion russian twist,abs,waist,medicine ball,abs
barbell press sit-up,abs,waist,barbell,abs
cable hip adduction,adductors,upper legs,cable,adductors
lever seated hip adduction,adductors,upper legs,leverage machine,adductors
butterfly yoga pose,adductors,upper legs,body weight,adductors
assisted side lying adductor stretch,adductors,upper legs,assisted,adductors
side plank hip adduction,adductors,upper legs,body weight,adductors
side lying hip adduction (male),adductors,upper legs,body weight,adductors
barbell alternate biceps curl,biceps,upper arms,barbell,biceps
barbell curl,biceps,upper arms,barbell,biceps
barbell drag curl,biceps,upper arms,barbell,biceps
barbell lying preacher curl,biceps,upper arms,barbell,biceps
barbell preacher curl,biceps,upper arms,barbell,biceps
barbell prone incline curl,biceps,upper arms,barbell,biceps
barbell reverse curl,biceps,upper arms,barbell,biceps
barbell reverse preacher curl,biceps,upper arms,barbell,biceps
barbell seated close-grip concentration curl,biceps,upper arms,barbell,biceps
barbell standing close grip curl,biceps,upper arms,barbell,biceps
barbell seated calf raise,calves,lower legs,barbell,calves
barbell standing leg calf raise,calves,lower legs,barbell,calves
barbell standing rocking leg calf raise,calves,lower legs,barbell,calves
circles knee stretch,calves,lower legs,body weight,calves
donkey calf raise,calves,lower legs,body weight,calves
dumbbell seated one leg calf raise,calves,lower legs,dumbbell,calves
dumbbell single leg calf raise,calves,lower legs,dumbbell,calves
dumbbell standing calf raise,calves,lower legs,dumbbell,calves
lever seated calf raise,calves,lower legs,leverage machine,calves
lever standing calf raise,calves,lower legs,leverage machine,calves
jack burpee,cardiovascular system,cardio,body weight,cardiovascular_system
mountain climber,cardiovascular system,cardio,body weight,cardiovascular_system
run (equipment),cardiovascular system,cardio,body weight,cardiovascular_system
run,cardiovascular system,cardio,body weight,cardiovascular_system
stationary bike walk,cardiovascular system,cardio,leverage machine,cardiovascular_system
burpee,cardiovascular system,cardio,body weight,cardiovascular_system
dumbbell burpee,cardiovascular system,cardio,dumbbell,cardiovascular_system
stationary bike run v. 3,cardiovascular system,cardio,stationary bike,cardiovascular_system
walk elliptical cross trainer,cardiovascular system,cardio,elliptical machine,cardiovascular_system
walking on stepmill,cardiovascular system,cardio,stepmill machine,cardiovascular_system
barbell front raise,delts,shoulders,barbell,delts
barbell one arm snatch,delts,shoulders,barbell,delts
barbell rear delt raise,delts,shoulders,barbell,delts
barbell rear delt row,delts,shoulders,barbell,delts
barbell seated behind head military press,delts,shoulders,barbell,delts
barbell seated bradford rocky press,delts,shoulders,barbell,delts
barbell seated overhead press,delts,shoulders,barbell,delts
barbell skier,delts,shoulders,barbell,delts
barbell standing bradford press,delts,shoulders,barbell,delts
barbell standing front raise over head,delts,shoulders,barbell,delts
barbell reverse wrist curl v. 2,forearms,lower arms,barbell,forearms
barbell reverse wrist curl,forearms,lower arms,barbell,forearms
barbell standing back wrist curl,forearms,lower arms,barbell,forearms
barbell wrist curl v. 2,forearms,lower arms,barbell,forearms
barbell wrist curl,forearms,lower arms,barbell,forearms
cable reverse wrist curl,forearms,lower arms,cable,forearms
cable standing back wrist curl,forearms,lower arms,cable,forearms
cable wrist curl,forearms,lower arms,cable,forearms
dumbbell lying pronation,forearms,lower arms,dumbbell,forearms
dumbbell lying supination,forearms,lower arms,dumbbell,forearms
barbell clean-grip front squat,glutes,upper legs,barbell,glutes
barbell deadlift,glutes,upper legs,barbell,glutes
barbell front chest squat,glutes,upper legs,barbell,glutes
barbell front squat,glutes,upper legs,barbell,glutes
barbell full squat,glutes,upper legs,barbell,glutes
barbell hack squat,glutes,upper legs,barbell,glutes
barbell jefferson squat,glutes,upper legs,barbell,glutes
barbell jump squat,glutes,upper legs,barbell,glutes
barbell lunge,glutes,upper legs,barbell,glutes
barbell lying lifting (on hip),glutes,upper legs,barbell,glutes
assisted prone hamstring,hamstrings,upper legs,assisted,hamstrings
barbell good morning,hamstrings,upper legs,barbell,hamstrings
barbell straight leg deadlift,hamstrings,upper legs,barbell,hamstrings
dumbbell lying femoral,hamstrings,upper legs,dumbbell,hamstrings
inverse leg curl (bench support),hamstrings,upper legs,body weight,hamstrings
kettlebell hang clean,hamstrings,upper legs,kettlebell,hamstrings
kick out sit,hamstrings,upper legs,body weight,hamstrings
lever kneeling leg curl,hamstrings,upper legs,leverage machine,hamstrings
lever lying leg curl,hamstrings,upper legs,leverage machine,hamstrings
lever seated leg curl,hamstrings,upper legs,leverage machine,hamstrings
alternate lateral pulldown,lats,back,cable,lats
assisted parallel close grip pull-up,lats,back,leverage machine,lats
assisted pull-up,lats,back,leverage machine,lats
barbell pullover to press,lats,back,barbell,lats
barbell decline bent arm pullover,lats,back,barbell,lats
barbell decline wide-grip pullover,lats,back,barbell,lats
barbell pullover,lats,back,barbell,lats
cable bar lateral pulldown,lats,back,cable,lats
cable cross-over lateral pulldown,lats,back,cable,lats
cable incline pushdown,lats,back,cable,lats
side push neck stretch,levator scapulae,neck,body weight,levator_scapulae
neck side stretch,levator scapulae,neck,body weight,levator_scapulae
assisted chest dip (kneeling),pectorals,chest,leverage machine,pectorals
barbell bench press,pectorals,chest,barbell,pectorals
barbell decline bench press,pectorals,chest,barbell,pectorals
barbell decline wide-grip press,pectorals,chest,barbell,pectorals
barbell front raise and pullover,pectorals,chest,barbell,pectorals
barbell guillotine bench press,pectorals,chest,barbell,pectorals
barbell incline bench press,pectorals,chest,barbell,pectorals
barbell wide bench press,pectorals,chest,barbell,pectorals
cable bench press,pectorals,chest,cable,pectorals
cable cross-over variation,pectorals,chest,cable,pectorals
balance board,quads,upper legs,body weight,quads
barbell bench front squat,quads,upper legs,barbell,quads
barbell bench squat,quads,upper legs,barbell,quads
barbell clean and press,quads,upper legs,barbell,quads
barbell one leg squat,quads,upper legs,barbell,quads
barbell overhead squat,quads,upper legs,barbell,quads
barbell side split squat v. 2,quads,upper legs,barbell,quads
barbell side split squat,quads,upper legs,barbell,quads
barbell single leg split squat,quads,upper legs,barbell,quads
barbell squat (on knees),quads,upper legs,barbell,quads
barbell incline shoulder raise,serratus anterior,chest,barbell,serratus_anterior
dumbbell incline shoulder raise,serratus anterior,chest,dumbbell,serratus_anterior
smith incline shoulder raises,serratus anterior,chest,smith machine,serratus_anterior
incline scapula push up,serratus anterior,chest,body weight,serratus_anterior
scapula push-up,serratus anterior,chest,body weight,serratus_anterior
hyperextension (on bench),spine,back,body weight,spine
hyperextension,spine,back,body weight,spine
lever back extension,spine,back,leverage machine,spine
weighted hyperextension (on stability ball),spine,back,weighted,spine
band straight leg deadlift,spine,back,band,spine
back extension on exercise ball,spine,back,stability ball,spine
exercise ball back extension with arms extended,spine,back,stability ball,spine
exercise ball back extension with hands behind head,spine,back,stability ball,spine
exercise ball back extension with knees off ground,spine,back,stability ball,spine
exercise ball back extension with rotation,spine,back,stability ball,spine
barbell shrug,traps,back,barbell,traps
cable shrug,traps,back,cable,traps
dumbbell decline shrug v. 2,traps,back,dumbbell,traps
dumbbell decline shrug,traps,back,dumbbell,traps
dumbbell incline shrug,traps,back,dumbbell,traps
dumbbell shrug,traps,back,dumbbell,traps
kettlebell sumo high pull,traps,back,kettlebell,traps
lever gripless shrug,traps,back,leverage machine,traps
lever shrug,traps,back,leverage machine,traps
scapular pull-up,traps,back,body weight,traps
assisted standing triceps extension (with towel),triceps,upper arms,assisted (towel),triceps
assisted triceps dip (kneeling),triceps,upper arms,leverage machine,triceps
barbell close-grip bench press,triceps,upper arms,barbell,triceps
barbell decline close grip to skull press,triceps,upper arms,barbell,triceps
barbell incline reverse-grip press,triceps,upper arms,barbell,triceps
barbell jm bench press,triceps,upper arms,barbell,triceps
barbell lying close-grip press,triceps,upper arms,barbell,triceps
barbell lying close-grip triceps extension,triceps,upper arms,barbell,triceps
barbell lying extension,triceps,upper arms,barbell,triceps
barbell lying triceps extension skull crusher,triceps,upper arms,barbell,triceps
barbell bent over row,upper back,back,barbell,upper_back
barbell incline row,upper back,back,barbell,upper_back
barbell one arm bent over row,upper back,back,barbell,upper_back
barbell reverse grip bent over row,upper back,back,barbell,upper_back
cable decline seated wide-grip row,upper back,back,cable,upper_back
cable floor seated wide-grip row,upper back,back,cable,upper_back
cable high row (kneeling),upper back,back,cable,upper_back
cable low seated row,upper back,back,cable,upper_back
cable one arm bent over row,upper back,back,cable,upper_back
cable one arm straight back high row (kneeling),upper back,back,cable,upper_back
